id,active,activebool,address_id,email,first_name,last_name,store_id
13,1,true,17,KAREN.JACKSON@email.com,KAREN,JACKSON,2
29,1,true,33,ANGELA.HERNANDEZ@email.com,ANGELA,HERNANDEZ,2
55,1,true,59,DORIS.REED@email.com,DORIS,REED,2
66,1,true,70,JANICE.WARD@email.com,JANICE,WARD,2
101,1,true,105,PEGGY.MYERS@email.com,PEGGY,MYERS,1
105,1,true,109,DAWN.SULLIVAN@email.com,DAWN,SULLIVAN,1
114,1,true,118,GRACE.ELLIS@email.com,GRACE,ELLIS,2
119,1,true,123,SHERRY.MARSHALL@email.com,SHERRY,MARSHALL,1
123,1,true,127,SHANNON.FREEMAN@email.com,SHANNON,FREEMAN,2
141,1,true,145,DEBBIE.REYES@email.com,DEBBIE,REYES,1
188,1,true,192,MELANIE.ARMSTRONG@email.com,MELANIE,ARMSTRONG,1
189,1,true,193,LORETTA.CARPENTER@email.com,LORETTA,CARPENTER,1
208,1,true,212,LUCY.WHEELER@email.com,LUCY,WHEELER,1
228,1,true,232,ALLISON.STANLEY@email.com,ALLISON,STANLEY,2
288,1,true,293,BOBBIE.CRAIG@email.com,BOBBIE,CRAIG,1
314,1,true,319,GEORGE.LINTON@email.com,GEORGE,LINTON,1
339,1,true,344,WALTER.PERRYMAN@email.com,WALTER,PERRYMAN,2
351,1,true,356,JACK.FOUST@email.com,JACK,FOUST,1
354,1,true,359,JUSTIN.NGO@email.com,JUSTIN,NGO,2
361,1,true,366,LAWRENCE.LAWTON@email.com,LAWRENCE,LAWTON,2
413,1,true,418,MARVIN.YEE@email.com,MARVIN,YEE,2
414,1,true,419,VINCENT.RALSTON@email.com,VINCENT,RALSTON,1
439,1,true,444,ALEXANDER.FENNELL@email.com,ALEXANDER,FENNELL,2
440,1,true,445,BERNARD.COLBY@email.com,BERNARD,COLBY,1
442,1,true,447,LEROY.BUSTAMANTE@email.com,LEROY,BUSTAMANTE,1
467,1,true,472,ALVIN.DELOACH@email.com,ALVIN,DELOACH,2
468,1,true,473,TIM.CARY@email.com,TIM,CARY,1
475,1,true,480,PEDRO.CHESTNUT@email.com,PEDRO,CHESTNUT,2
503,1,true,508,ANGEL.BARCLAY@email.com,ANGEL,BARCLAY,1
510,0,true,515,BEN.EASTER@email.com,BEN,EASTER,2
518,1,true,524,GABRIEL.HARDER@email.com,GABRIEL,HARDER,1
